prefecture,name,address,latitude,longitude
北海道,北海道赤十字血液センター,札幌市西区二十四軒2条1-1-20,43.07531721,141.31688932
北海道,大通献血ルーム,札幌市中央区大通西4-6-1 大通西4ビル11階,43.06112025,141.35164022
北海道,アスティ献血ルーム,札幌市中央区北4条西5-1 アスティ45ビル7階,43.06609734,141.34814298
北海道,新さっぽろ献血ルーム,札幌市厚別区厚別中央2条5-6-2 Duo(デュオ)1地下1階,43.03903736,141.47248359
北海道,室蘭出張所,室蘭市東町1-20-42,42.34349718,141.02303002
北海道,北彩都あさひかわ献血ルーム,旭川市宮下通7-2-5 イオンモール旭川駅前4階,43.76396302,142.35741698
北海道,ぷらっと946献血ルーム,釧路市昭和中央4-18-1 イオンモール釧路昭和1階 レストラン街,43.02709079,144.36034722
北海道,帯広すずらん献血ルーム,帯広市東7条南9-13-4,42.92283585,143.21609788
北海道,函館事業所,函館市日乃出町23-8,41.77474880,140.75253311
青森県,青森献血ルーム,青森市長島1-3-1,40.82447920,140.74316767
青森県,弘前献血ルームCoCoSA,弘前市大字駅前町8-1 大町タウンビル2階,40.59760823,140.48254884
青森県,八戸献血ルーム,八戸市大字類家字縄手下1-51,40.50422077,141.49482854
岩手県,もりおか献血ルーム メルシー,盛岡市大通2-3-7｢CT33ビル｣4階,39.70331378,141.14649545
宮城県,杜の都献血ルームAOBA,仙台市青葉区一番町4-9-18TICビル 6階,38.26497309,140.87016636
宮城県,献血ルーム アエル20,仙台市青葉区中央1-3-1 アエル 20階,38.26268213,140.88126248
秋田県,献血パーク・るうぷ,秋田市川尻町字大川反233-186,39.71417705,140.08639057
秋田県,アトリオン献血ルーム,秋田市中通2-3-8アトリオン1階,39.71743351,140.12457339
秋田県,献血ステーション,秋田市御所野地蔵田1-1-1イオンモール秋田1階,39.66321888,140.16120021
山形県,献血ルーム SAKURAMBO,山形市香澄町2-2-36 山形センタービル5階,38.24737234,140.33105527
福島県,福島県赤十字血液センター,福島市永井川字北原田17,37.72391426,140.44579840
福島県,郡山駅献血ルーム,郡山市燧田195(JR郡山駅構内2階）,37.39614031,140.38785067
福島県,いわき出張所,いわき市中央台飯野5-1-1,37.02084021,140.91099896
福島県,会津出張所,会津若松市一箕町大字八幡字門田1-2,37.50691494,139.94800454
茨城県,献血ルームMEET,水戸市宮町1-7-31 エクセル南6階,36.37009668,140.47703165
茨城県,つくば献血ルーム,つくば市吾妻1-1364-1-4 つくばセンタービル2階,36.08238585,140.11388390
茨城県,日立献血ルーム「さくら」,日立市幸町1-4-1 三井生命日立ビル5階,36.59193215,140.66044913
栃木県,栃木県赤十字血液センター,宇都宮市今宮4-6-33,36.50890550,139.86737655
栃木県,うつのみや大通り献血ルーム,宇都宮市大通り2-1-5 明治安田生命ビル1階,36.56035641,139.88930306
群馬県,高崎駅献血ルーム Harmony,高崎市八島町222JR高崎駅東口3階イーサイト内,36.32216240,139.01298660
群馬県,前橋献血ルーム,前橋市南町3-9-5 大同生命ビル1階,36.38256573,139.07334353
群馬県,太田献血ルーム,太田市飯塚町1549-2,36.28376426,139.38274484
埼玉県,大宮献血ルーム ウエスト,さいたま市大宮区桜木町2-4-1 DOMPARTⅢ 5・6階,35.90601701,139.62112134
埼玉県,越谷レイクタウン献血ルーム,越谷市レイクタウン3-1-1 イオンレイクタウンmori 1階,35.88506585,139.82750950
埼玉県,所沢プロペ通り献血ルーム,所沢市日吉町10-19 Tokorozawa ex 2階,35.78786197,139.47194871
埼玉県,川越クレアモール献血ルーム,川越市脇田町4-2 川越モディ4階,35.90911357,139.48292122
埼玉県,鴻巣献血ルーム,鴻巣市鴻巣405-4 埼玉県運転免許センター内,36.06967995,139.52276055
埼玉県,熊谷駅献血ルーム,熊谷市筑波2-112 JR熊谷駅構内,36.13967616,139.38949354
埼玉県,川口駅献血ルーム,川口市栄町3-1-24 川口駅東口ビル3階,35.80196816,139.71771347
千葉県,モノレールちば駅献血ルーム,千葉市中央区新千葉1-1-1 千葉都市モノレール千葉駅構内,35.61216617,140.11425595
千葉県,運転免許センター献血ルーム,千葉市美浜区浜田2-1 千葉運転免許センター内,35.65601030,140.03446172
千葉県,津田沼献血ルーム,船橋市前原西2-19-1津田沼パルコB館6階,35.69254469,140.02228095
千葉県,献血ルーム フェイス,船橋市本町1-3-1 Faceビル7階,35.70077125,139.98537536
千葉県,松戸献血ルームPure,松戸市松戸1307-1 松戸ビル1階,35.78222668,139.89870211
千葉県,柏献血ルーム,柏市柏2-2-3榎本ビル5階,35.86178809,139.97234747
東京都,都庁献血ルーム,新宿区西新宿2-8-1都議会議事堂地下1階,35.68918461,139.69164748
東京都,新宿西口献血ルーム,新宿区西新宿1丁目 西口地下街1号,35.69297049,139.69938553
東京都,新宿東口献血ルーム,新宿区新宿3-17-5 カワセビル6階,35.69186238,139.70314358
東京都,献血ルーム新宿ギフト,新宿区新宿3-18-1丸井新宿東口ビル9階,35.69247063,139.70267693
東京都,新宿東口駅前献血ルーム,新宿区新宿3-25-1ヒューリック新宿ビル10階,35.69243451,139.70191866
東京都,ハチ公前献血ルーム,渋谷区道玄坂2-3-2大外ビル6階,35.65911045,139.69992571
東京都,献血ルーム 池袋い～すと,豊島区東池袋1-1-4 タカセセントラルビル8階,35.72996948,139.71329118
東京都,献血ルーム 池袋ぶらっと,豊島区東池袋1-12-8 フジキビル3階,35.72940568,139.71430223
東京都,有楽町献血ルーム,千代田区有楽町2-10-1 東京交通会館6階,35.67498242,139.76429726
東京都,akiba:F 献血ルーム,千代田区外神田1-16-9朝風二号館ビル5階,35.69728303,139.77246843
東京都,献血ルーム feel,墨田区押上1-1-2東京スカイツリータウン・ソラマチ10階,35.71009074,139.81071710
東京都,献血ルーム 吉祥寺タキオン,武蔵野市吉祥寺本町1-15-2 ダイヤバローレビル8階,35.70390212,139.58017567
